mapq_threshold,correct,wrong
0,270155,30764
1,266993,11479
2,265737,5736
3,263894,3333
4,262607,2409
5,261443,1779
6,260228,1415
7,259246,1150
8,258257,953
9,257072,785
10,255884,673
11,254816,584
12,253871,497
13,252968,431
14,251966,371
15,250807,313
16,249260,261
17,246750,227
18,242873,209
19,239499,197
20,238709,190
21,238353,185
22,237960,177
23,237574,167
24,237119,157
25,236660,151
26,236144,145
27,235591,137
28,234993,131
29,234361,112
30,233627,96
31,232670,91
32,231277,80
33,228817,67
34,225124,54
35,219970,47
36,211827,35
37,202370,30
38,195329,28
39,193186,28
40,192941,28
41,192861,28
42,192774,28
43,192655,28
44,192530,28
45,192408,28
46,192295,28
47,192187,28
48,192072,28
49,191942,28
50,191849,28
51,191757,28
52,191662,27
53,191533,27
54,191442,26
55,191343,26
56,191237,26
57,191121,26
58,191022,26
59,190937,26
60,190831,25
61,190719,25
62,190595,25
63,190496,25
64,190392,25
65,190248,25
66,190183,25
67,190049,24
68,189966,23
69,189849,23
70,189749,23
71,189636,23
72,189538,22
73,189413,22
74,189287,22
75,189147,22
76,189015,22
77,188892,22
78,188758,22
79,188598,22
80,188447,22
81,188318,22
82,188148,22
83,187946,22
84,187762,22
85,187558,22
86,187306,22
87,187053,22
88,186671,22
89,186350,22
90,185941,22
91,185539,22
92,185140,22
93,184799,22
94,184527,22
95,184323,22
96,184164,22
97,184028,22
98,183922,22
99,183816,22
100,183721,22
101,183631,22
102,183514,22
103,183417,22
104,183329,22
105,183231,22
106,183121,22
107,183022,22
108,182918,22
109,182823,22
110,182703,22
111,182583,22
112,182487,22
113,182376,22
114,182285,22
115,182181,22
116,182077,22
117,181956,22
118,181851,22
119,181724,21
120,181600,21
121,181473,21
122,181345,21
123,181243,21
124,181133,21
125,181015,21
126,180865,21
127,180758,21
128,180636,21
129,180511,21
130,180340,21
131,180223,21
132,180080,21
133,179934,21
134,179760,21
135,179619,20
136,179463,20
137,179329,20
138,179201,20
139,179056,20
140,178903,20
141,178721,20
142,178552,20
143,178390,20
144,178198,20
145,177994,20
146,177792,20
147,177600,20
148,177416,20
149,177228,20
150,177024,20
151,176787,20
152,176595,20
153,176370,20
154,176142,19
155,175886,19
156,175635,18
157,175422,18
158,175123,17
159,174795,15
160,174471,14
161,174094,13
162,173675,11
163,173269,10
164,172771,9
165,172219,7
166,171973,7
167,171378,7
168,170283,6
169,169476,3
170,168623,2
171,167536,2
172,166396,2
173,165227,0
174,163719,0
175,162106,0
176,160397,0
177,156595,0
178,154081,0
179,151643,0
180,145969,0
181,142359,0
182,138959,0
183,131024,0
184,126390,0
185,117782,0
186,106968,0
187,102353,0
188,90196,0
189,84967,0
190,74145,0
191,62844,0
192,52505,0
193,43222,0
194,33602,0
195,26857,0
196,18746,0
197,14721,0
198,8921,0
199,6319,0
200,2886,0
201,2404,0
202,704,0
203,115,0
204,97,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
