mapper,additional_parameters,correctly_mapped_percent,wrongly_mapped_percent,not_mapped_percent,throughput_reads_per_sec
NGM,,71.2791,22.2575,6.4634,79818
BWA,,74.1038,25.7969,0.0994,11290
BWA-MEM,,0.0000,0.0000,100.0000,1011
BWA-SW,,0.0000,0.0000,100.0000,521541
Bowtie 2,,73.0391,23.3694,3.5914,44183
