mapq_threshold,correct,wrong
0,300365,22176
1,295714,1477
2,291684,227
3,290868,111
4,289066,73
5,288033,58
6,287507,49
7,286970,47
8,285221,16
9,284871,13
10,284641,10
11,284382,8
12,284219,8
13,284018,6
14,283893,4
15,282579,3
16,282254,2
17,282101,2
18,281940,2
19,281832,2
20,281643,2
21,280930,1
22,280274,1
23,280026,1
24,279856,1
25,279674,1
26,279481,0
27,279381,0
28,278687,0
29,278239,0
30,277854,0
31,277682,0
32,277486,0
33,277264,0
34,277128,0
35,276491,0
36,276131,0
37,275775,0
38,275485,0
39,275297,0
40,275066,0
41,274951,0
42,274389,0
43,273962,0
44,273742,0
45,273441,0
46,273263,0
47,273008,0
48,272829,0
49,272315,0
50,271917,0
51,271698,0
52,271382,0
53,271158,0
54,270887,0
55,270372,0
56,270273,0
57,269847,0
58,269521,0
59,269342,0
60,268934,0
61,268866,0
62,268335,0
63,268253,0
64,267834,0
65,267370,0
66,267333,0
67,266901,0
68,266857,0
69,266345,0
70,266277,0
71,265838,0
72,265514,0
73,265359,0
74,264964,0
75,264893,0
76,264380,0
77,264153,0
78,263858,0
79,263571,0
80,263383,0
81,263009,0
82,262651,0
83,262442,0
84,262228,0
85,261947,0
86,261589,0
87,261482,0
88,261098,0
89,260729,0
90,260573,0
91,260278,0
92,260013,0
93,259695,0
94,259407,0
95,259231,0
96,258913,0
97,258704,0
98,258423,0
99,257994,0
100,257832,0
101,257513,0
102,257285,0
103,256951,0
104,256596,0
105,256493,0
106,256073,0
107,255864,0
108,255544,0
109,255350,0
110,255034,0
111,254645,0
112,254551,0
113,254144,0
114,253905,0
115,253634,0
116,253197,0
117,253049,0
118,252655,0
119,252414,0
120,252188,0
121,251759,0
122,251669,0
123,251224,0
124,251109,0
125,250704,0
126,250443,0
127,250189,0
128,249749,0
129,249659,0
130,249238,0
131,249149,0
132,248717,0
133,248286,0
134,248091,0
135,247648,0
136,247533,0
137,247073,0
138,246784,0
139,246483,0
140,246068,0
141,245873,0
142,245405,0
143,245290,0
144,244769,0
145,244414,0
146,244123,0
147,243631,0
148,243495,0
149,243031,0
150,242581,0
151,242269,0
152,241929,0
153,241629,0
154,241099,0
155,240661,0
156,240341,0
157,239912,0
158,239649,0
159,239184,0
160,238577,0
161,238282,0
162,237855,0
163,237533,0
164,237132,0
165,236844,0
166,236353,0
167,235725,0
168,235351,0
169,234845,0
170,234494,0
171,234005,0
172,233369,0
173,232952,0
174,232552,0
175,232120,0
176,231589,0
177,230917,0
178,230620,0
179,229998,0
180,229520,0
181,229028,0
182,228557,0
183,228101,0
184,227265,0
185,227012,0
186,226341,0
187,225842,0
188,225316,0
189,224307,0
190,224204,0
191,223065,0
192,222849,0
193,221444,0
194,220111,0
195,218773,0
196,216366,0
197,213269,0
198,207975,0
199,200601,0
200,180144,0
201,176643,0
202,135134,0
203,82085,0
204,79013,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
