mapq_threshold,correct,wrong
0,302626,10381
1,299390,762
2,298744,331
3,297145,119
4,296634,81
5,295764,59
6,295259,44
7,294739,36
8,294237,31
9,293837,25
10,293426,23
11,292880,16
12,291426,9
13,291045,7
14,290710,6
15,290415,3
16,290117,3
17,289660,3
18,289428,3
19,289173,1
20,288986,1
21,285407,0
22,284406,0
23,283156,0
24,282244,0
25,281190,0
26,280178,0
27,279155,0
28,278063,0
29,276919,0
30,275589,0
31,274277,0
32,272243,0
33,268102,0
34,265186,0
35,263780,0
36,262690,0
37,261201,0
38,260610,0
39,260158,0
40,259789,0
41,259146,0
42,258647,0
43,258093,0
44,257703,0
45,257249,0
46,256756,0
47,256334,0
48,255933,0
49,255527,0
50,254886,0
51,254195,0
52,252569,0
53,245242,0
54,240214,0
55,238983,0
56,238735,0
57,238645,0
58,238526,0
59,238329,0
60,238298,0
61,238098,0
62,237901,0
63,237766,0
64,237486,0
65,237377,0
66,237288,0
67,237045,0
68,236937,0
69,236765,0
70,236615,0
71,236531,0
72,236214,0
73,236103,0
74,235871,0
75,235640,0
76,235426,0
77,235200,0
78,235063,0
79,234783,0
80,234642,0
81,234473,0
82,234172,0
83,233983,0
84,233582,0
85,233420,0
86,233276,0
87,232979,0
88,232845,0
89,232586,0
90,232413,0
91,232307,0
92,231951,0
93,231812,0
94,231660,0
95,231385,0
96,231227,0
97,230892,0
98,230696,0
99,230518,0
100,230169,0
101,229928,0
102,229528,0
103,229226,0
104,228854,0
105,228533,0
106,228254,0
107,228049,0
108,227847,0
109,227674,0
110,227469,0
111,227273,0
112,226956,0
113,226777,0
114,226534,0
115,226387,0
116,226109,0
117,225809,0
118,225689,0
119,225547,0
120,225192,0
121,225011,0
122,224655,0
123,224546,0
124,224316,0
125,223925,0
126,223734,0
127,223338,0
128,223253,0
129,223062,0
130,222675,0
131,222562,0
132,222327,0
133,221973,0
134,221709,0
135,221440,0
136,221185,0
137,220905,0
138,220620,0
139,220395,0
140,220073,0
141,219825,0
142,219371,0
143,219190,0
144,219016,0
145,218546,0
146,218396,0
147,217822,0
148,217738,0
149,217485,0
150,216935,0
151,216773,0
152,216639,0
153,216083,0
154,215776,0
155,215317,0
156,214916,0
157,214850,0
158,214260,0
159,213260,0
160,212777,0
161,212388,0
162,211962,0
163,207704,0
164,206864,0
165,206136,0
166,205779,0
167,204922,0
168,186997,0
169,185199,0
170,183252,0
171,135607,0
172,132428,0
173,129600,0
174,126700,0
175,52520,0
176,50245,0
177,46461,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
