mapq_threshold,correct,wrong
0,208394,21463
1,202989,3331
2,202162,1793
3,200618,1143
4,199974,878
5,199402,700
6,198953,585
7,198649,497
8,198347,423
9,197786,369
10,197234,312
11,196912,264
12,196725,239
13,196559,196
14,196357,178
15,196007,164
16,195425,150
17,194201,134
18,192592,125
19,191666,118
20,191481,112
21,191373,107
22,191251,102
23,191121,100
24,190961,100
25,190848,96
26,190706,88
27,190518,85
28,190320,77
29,190047,72
30,189696,62
31,189187,58
32,188257,49
33,186353,40
34,183456,37
35,179566,34
36,174272,29
37,169050,27
38,166377,27
39,165909,27
40,165840,27
41,165772,27
42,165719,26
43,165666,26
44,165622,26
45,165567,26
46,165506,26
47,165460,26
48,165400,26
49,165346,26
50,165280,26
51,165230,26
52,165185,26
53,165124,26
54,165090,26
55,165038,26
56,164998,26
57,164941,26
58,164905,26
59,164855,26
60,164805,26
61,164756,26
62,164717,26
63,164662,26
64,164614,26
65,164570,26
66,164531,26
67,164474,26
68,164434,26
69,164396,26
70,164355,26
71,164308,26
72,164277,26
73,164225,26
74,164183,26
75,164126,26
76,164085,26
77,164022,26
78,163988,26
79,163930,26
80,163864,26
81,163804,25
82,163719,25
83,163612,25
84,163501,25
85,163394,25
86,163257,25
87,163143,25
88,162917,25
89,162788,25
90,162579,25
91,162399,25
92,162259,25
93,162141,25
94,162063,25
95,161998,25
96,161957,25
97,161904,25
98,161873,25
99,161828,25
100,161794,25
101,161754,25
102,161711,25
103,161669,25
104,161647,25
105,161617,25
106,161594,25
107,161563,25
108,161525,24
109,161500,24
110,161466,24
111,161426,24
112,161400,24
113,161360,24
114,161326,24
115,161288,24
116,161256,24
117,161217,24
118,161187,24
119,161159,24
120,161127,24
121,161093,24
122,161061,24
123,161036,24
124,161001,24
125,160980,24
126,160943,24
127,160911,24
128,160878,24
129,160848,24
130,160818,24
131,160784,23
132,160758,23
133,160724,23
134,160692,23
135,160663,23
136,160639,23
137,160598,23
138,160574,23
139,160545,23
140,160504,23
141,160480,23
142,160455,22
143,160422,22
144,160400,22
145,160366,22
146,160333,22
147,160285,22
148,160229,22
149,160207,22
150,160149,21
151,160094,20
152,160016,20
153,159990,20
154,159903,17
155,159813,14
156,159714,13
157,159692,13
158,159578,11
159,159428,10
160,159232,9
161,159037,7
162,158798,7
163,158542,6
164,158204,5
165,157833,5
166,157808,5
167,157360,5
168,156183,5
169,155447,4
170,154648,4
171,153724,4
172,152681,2
173,151483,1
174,150115,0
175,148552,0
176,146710,0
177,142512,0
178,139972,0
179,137406,0
180,131409,0
181,127963,0
182,124679,0
183,116641,0
184,112304,0
185,103850,0
186,93621,0
187,89445,0
188,78124,0
189,73588,0
190,64093,0
191,54031,0
192,44812,0
193,36843,0
194,28632,0
195,22811,0
196,15996,0
197,12481,0
198,7568,0
199,5367,0
200,2415,0
201,2045,0
202,638,0
203,98,0
204,80,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
