mapq_threshold,correct,wrong
0,218938,20602
1,212608,417
2,210277,126
3,209893,77
4,209070,46
5,208758,26
6,208583,19
7,208473,16
8,206813,12
9,206615,9
10,206526,7
11,206424,7
12,206362,6
13,206223,6
14,206152,6
15,205122,5
16,204900,4
17,204807,4
18,204735,3
19,204693,3
20,204568,3
21,204158,1
22,203729,1
23,203574,1
24,203463,1
25,203380,0
26,203287,0
27,203229,0
28,202976,0
29,202774,0
30,202601,0
31,202526,0
32,202452,0
33,202376,0
34,202329,0
35,202154,0
36,202061,0
37,201921,0
38,201807,0
39,201736,0
40,201629,0
41,201574,0
42,201407,0
43,201246,0
44,201180,0
45,201077,0
46,201019,0
47,200939,0
48,200876,0
49,200755,0
50,200636,0
51,200581,0
52,200490,0
53,200432,0
54,200348,0
55,200202,0
56,200172,0
57,200038,0
58,199935,0
59,199881,0
60,199759,0
61,199734,0
62,199630,0
63,199608,0
64,199463,0
65,199348,0
66,199342,0
67,199219,0
68,199214,0
69,199080,0
70,199055,0
71,198940,0
72,198859,0
73,198828,0
74,198709,0
75,198690,0
76,198572,0
77,198502,0
78,198434,0
79,198360,0
80,198313,0
81,198232,0
82,198139,0
83,198085,0
84,198034,0
85,197969,0
86,197882,0
87,197857,0
88,197777,0
89,197697,0
90,197666,0
91,197590,0
92,197532,0
93,197455,0
94,197401,0
95,197372,0
96,197304,0
97,197254,0
98,197191,0
99,197087,0
100,197050,0
101,196992,0
102,196938,0
103,196862,0
104,196801,0
105,196780,0
106,196700,0
107,196647,0
108,196582,0
109,196558,0
110,196495,0
111,196415,0
112,196387,0
113,196320,0
114,196270,0
115,196214,0
116,196136,0
117,196113,0
118,196037,0
119,195992,0
120,195950,0
121,195882,0
122,195870,0
123,195795,0
124,195778,0
125,195699,0
126,195652,0
127,195599,0
128,195521,0
129,195507,0
130,195437,0
131,195426,0
132,195359,0
133,195302,0
134,195284,0
135,195209,0
136,195197,0
137,195123,0
138,195086,0
139,195053,0
140,194993,0
141,194969,0
142,194886,0
143,194881,0
144,194817,0
145,194776,0
146,194741,0
147,194685,0
148,194661,0
149,194596,0
150,194557,0
151,194529,0
152,194486,0
153,194466,0
154,194408,0
155,194374,0
156,194355,0
157,194322,0
158,194295,0
159,194247,0
160,194197,0
161,194176,0
162,194145,0
163,194120,0
164,194072,0
165,194043,0
166,194002,0
167,193940,0
168,193902,0
169,193855,0
170,193823,0
171,193776,0
172,193739,0
173,193700,0
174,193669,0
175,193627,0
176,193591,0
177,193545,0
178,193531,0
179,193473,0
180,193438,0
181,193398,0
182,193369,0
183,193324,0
184,193265,0
185,193230,0
186,193162,0
187,193110,0
188,193050,0
189,192956,0
190,192905,0
191,192723,0
192,192600,0
193,192153,0
194,191651,0
195,190650,0
196,189339,0
197,186771,0
198,182896,0
199,176607,0
200,159507,0
201,157077,0
202,120421,0
203,73115,0
204,70387,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
